date	version	count
2017-07-30	1.29.0	2463
2017-07-30	1.28.1	2457
2017-07-30	1.28.0	1696
2017-07-30	1.30.0 (ALPHA)	251
2017-07-30	1.29.0 (ALPHA)	79
2017-07-30	1.29.0 (RC)	48
2017-07-30	1.30.0 (WMF)	25
2017-07-30	1.29.0 (WMF)	9
2017-07-30	1.28.0 (RC)	2
2017-07-30	1.28.0 (ALPHA)	1
2017-08-06	1.28.2	7078
2017-08-06	1.29.0	3202
2017-08-06	1.28.1	2457
2017-08-06	1.28.0	1724
2017-08-06	1.30.0 (ALPHA)	268
2017-08-06	1.29.0 (ALPHA)	78
2017-08-06	1.29.0 (RC)	47
2017-08-06	1.30.0 (WMF)	27
2017-08-06	1.29.0 (WMF)	9
2017-08-06	1.28.0 (RC)	2
2017-08-06	1.28.0 (ALPHA)	1
2017-08-13	1.28.2	7143
2017-08-13	1.29.0	3996
2017-08-13	1.28.1	2457
2017-08-13	1.28.0	1739
2017-08-13	1.30.0 (ALPHA)	285
2017-08-13	1.29.0 (ALPHA)	79
2017-08-13	1.29.0 (RC)	47
2017-08-13	1.30.0 (WMF)	27
2017-08-13	1.29.0 (WMF)	9
2017-08-13	1.28.0 (RC)	2
2017-08-13	1.28.0 (ALPHA)	1
2017-08-20	1.28.2	7189
2017-08-20	1.29.0	4530
2017-08-20	1.28.1	2459
2017-08-20	1.28.0	1755
2017-08-20	1.29.1	351
2017-08-20	1.30.0 (ALPHA)	302
2017-08-20	1.29.0 (ALPHA)	80
2017-08-20	1.29.0 (RC)	47
2017-08-20	1.30.0 (WMF)	29
2017-08-20	1.29.0 (WMF)	9
2017-08-20	1.28.0 (RC)	2
2017-08-20	1.28.0 (ALPHA)	1
2017-08-27	1.28.2	7255
2017-08-27	1.29.0	4566
2017-08-27	1.28.1	2459
2017-08-27	1.28.0	1785
2017-08-27	1.29.1	1064
2017-08-27	1.30.0 (ALPHA)	325
2017-08-27	1.29.0 (ALPHA)	81
2017-08-27	1.29.0 (RC)	47
