date	32	64	other	Other
2021-03-07	1060	22087	0	
2021-03-14	1045	22152	0	
2021-03-21	1094	22184	0	
2021-03-28	1038	22039	0	
2021-04-04	1066	22278	0	
2021-04-11	1003	20940	0	
2021-04-18	1024	22789	0	
2021-04-25	1051	22860	0	
2021-05-02	1012	22983	0	
2021-05-09	977	22529	0	
2021-05-16	970	22659	0	
2021-05-23	951	22854	0	
2021-05-30	950	22731	0	
2021-06-06	943	22556	0	
2021-06-13	937	22112	0	
2021-06-20	907	22062	0	
2021-06-27	912	22109	0	
2021-07-04	921	22171	0	
2021-07-11	909	22077	0	
2021-07-18	881	22013	0	
2021-07-25	853	21643	0	
2021-08-01	854	21631	0	
2021-08-08	869	21836	0	
2021-08-15	879	22116	0	
2021-08-22	905	22020	0	
2021-08-29	904	22063	0	
2021-09-05	907	22284	0	
2021-09-12	924	22403	0	
2021-09-19	935	22655	0	
2021-09-26	952	23030	0	
2021-10-03	958	23342	0	
2021-10-10	951	23318	0	
2021-10-17	965	23347	0	
2021-10-24	960	23085	0	
2021-10-31	956	22967	0	
2021-11-07	951	23370	0	
2021-11-14	932	23747	0	
2021-11-21	937	23793	0	
2021-11-28	933	23643	0	
2021-12-05	901	23304	0	
2021-12-12	915	23459	0	
2021-12-19	894	23040	0	
2021-12-26	887	22547	0	
2022-01-02	903	22891	0	
