date	5.5	5.6	7.0	7.1	7.2	7.3	7.4	8.0	8.1	8.2	other	Other
2019-08-18	5	216	10	12	34	7	0				0	
2019-08-25	3	210	9	13	34	7	1				0	
2019-09-01	2	219	6	9	36	8	1				0	
2019-09-08	3	228	5	4	29	9	1				0	
2019-09-15	5	221	8	4	25	8	1				0	
2019-09-22	8	233	6	5	18	8	0				0	
2019-09-29	8	250	9	7	15	5	0				0	
2019-10-06	6	234	12	13	20	6	0				0	
2019-10-13	5	229	9	14	21	5	0				0	
2019-10-20	5	222	15	13	19	7	0				0	
2019-10-27	5	216	14	13	17	10	0				0	
2019-11-03	6	221	15	11	7	14	0				0	
2019-11-10	5	231	18	6	9	19	0				0	
2019-11-17	1	240	17	5	9	24	0				0	
2019-11-24	2	246	18	7	9	21	0				0	
2019-12-01	3	240	15	10	11	21	0				0	
2019-12-08	3	237	14	10	9	18	0				0	
2019-12-15	2	235	10	8	12	12	0				0	
2019-12-22	3	210	8	6	15	12	0				0	
2019-12-29	1	208	10	0	18	13	0				0	
2020-01-05	2	203	11	0	17	14	0				0	
2020-01-12	2	206	12	1	14	15	2				0	
2020-01-19	7	208	8	3	16	12	3				0	
2020-01-26	7	221	11	7	12	12	3				0	
2020-02-02	7	218	11	13	12	7	3				0	
2020-02-09	6	195	9	14	14	3	3				0	
2020-02-16	2	216	9	11	11	4	0				0	
2020-02-23	1	213	8	10	22	5	0				0	
2020-03-01	2	223	4	6	19	5	1				0	
2020-03-08	2	223	5	5	17	6	1				0	
2020-03-15	2	218	4	6	16	8	2				0	
2020-03-22	2	227	4	4	7	7	2				0	
2020-03-29	1	245	3	2	15	5	5				0	
2020-04-05	0	244	1	2	15	6	6				0	
2020-04-12	0	243	1	2	15	2	7				0	
2020-04-19	0	250	1	3	20	1	6				0	
2020-04-26	0	240	2	3	11	3	2				0	
2020-05-03	0	230	4	3	15	3	2				0	
2020-05-10	0	194	3	3	20	3	4				0	
2020-05-17	0	139	9	1	21	6	5				0	
2020-05-24	1	92	9	3	20	8	8				0	
2020-05-31	1	54	7	2	17	6	9				0	
2020-06-07	1	28	8	3	13	7	7				0	
2020-06-14	1	19	5	4	8	7	6				0	
2020-06-21	1	17	6	3	10	3	4				0	
2020-06-28	0	11	8	3	8	3	4				0	
2020-07-05	0	6	10	5	8	4	2				0	
2020-07-12	0	6	10	7	6	5	2				0	
2020-07-19	0	4	11	8	6	4	8				0	
2020-07-26	0	10	8	8	7	4	8				0	
2020-08-02	1	13	5	7	10	5	9				0	
2020-08-09	1	15	5	4	13	3	11				0	
2020-08-16	2	17	10	3	15	3	15				0	
2020-08-23	2	14	9	2	12	3	21				0	
2020-08-30	1	12	9	1	9	0	22				0	
2020-09-06	1	8	9	1	7	3	24				0	
2020-09-13	0	8	1	1	5	5	19				0	
2020-09-20	0	7	1	1	4	6	9				0	
2020-09-27	0	7	2	0	6	7	7				0	
2020-10-04	0	10	2	0	6	6	6				0	
2020-10-11	0	6	2	0	7	6	6				0	
2020-10-18	0	8	2	0	8	6	8				0	
2020-10-25	1	10	2	1	6	7	9				0	
2020-11-01	1	11	1	4	5	5	7				0	
2020-11-08	1	10	0	4	4	5	14				0	
2020-11-15	2	10	0	4	4	7	13				0	
2020-11-22	1	11	1	6	3	8	14				0	
2020-11-29	1	8	5	2	8	7	14				0	
2020-12-06	1	10	6	2	8	6	7				0	
2020-12-13	0	9	6	3	9	8	5				0	
2020-12-20	0	6	5	2	9	3	5				0	
2020-12-27	0	5	2	1	8	8	5				0	
2021-01-03	0	4	5	1	9	9	6				0	
2021-01-10	1	4	6	2	9	7	10				0	
2021-01-17	1	7	7	2	11	7	16				0	
2021-01-24	1	6	8	2	8	6	20				0	
2021-01-31	1	5	4	2	7	4	22				0	
2021-02-07	1	4	2	2	9	2	18				0	
2021-02-14	1	5	2	0	5	2	17				0	
2021-02-21	1	6	0	0	6	0	12				0	
2021-02-28	2	7	0	0	5	0	5				0	
2021-03-07	2	6	4	0	2	0	5				0	
2021-03-14	2	7	5	0	2	2	5				0	
2021-03-21	3	3	5	0	2	2	3				1	
2021-03-28	2	4	6	0	2	2	8				2	
2021-04-04	2	4	4	0	2	5	10				4	
2021-04-11	1	2	2	0	5	3	10				4	
2021-04-18	1	5	5	5	6	4	8				4	
2021-04-25	1	7	4	5	7	8	7				3	
2021-05-02	1	6	6	5	6	6	6				1	
2021-05-09	2	7	5	5	3	7	5				1	
2021-05-16	1	4	2	0	2	6	5				0	
